NEES Value
4.8843846821626427e-08
2.3226805555486528e-07
2.054022738345258e-07
2.0789202380546904e-07
2.2371209276392078e-07
2.415648609416327e-07
2.455363913867986e-07
3.8089426441557064e-07
4.084102772554469e-07
4.4219341477129943e-07
4.6498265786821997e-07
5.035960145992154e-07
5.339061112051468e-07
5.245433443436838e-07
5.647373744035734e-07
5.960616462651129e-07
6.278055655079036e-07
6.598893824669864e-07
6.92269543913744e-07
